"","ARM","BNC","CLF","DWN","FNT","GEN","PRL","SNG","STP","TSN","B","F","L","S","LT","RG","ST","UN","LR","MD","SM","XL","SKU"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,16
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,17
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,19
"4",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,20
"5",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,23
"6",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25
"7",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,26
"8",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,27
"9",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,29
"10",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30
"11",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,31
"12",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,32
"13",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,34
"14",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35
"15",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36
"16",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,37
"17",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,38
"18",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,39
"19",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,40
"20",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,41
"21",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,42
"22",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,44
"23",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,45
"24",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,46
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,50
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,51
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,53
"28",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,61
"29",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,62
"30",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,63
"31",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,65
"32",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,66
"33",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,72
"34",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,78
"35",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,80
"36",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,82
"37",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,88
"38",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,89
"39",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,91
"40",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,93
"41",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,95
"42",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,97
"43",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,99
"44",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,103
"45",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,104
"46",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106
"47",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,107
"48",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,108
"49",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,111
"50",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,112
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,114
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,115
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,116
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,118
"55",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,124
"56",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,125
"57",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,126
"58",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,130
"59",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,131
